TimeWindow  Iteration  ResRel(Pressure)  
     3      12   4.10882274e-02  
     3      13   5.38335073e-02  
     3      14   1.54017349e-01  
     3      15   7.84508980e-02  
     3      16   3.34861299e-03  
     3      17   3.06138101e-02  
     3      18   5.40848873e-02  
     3      19   8.91050664e-02  
     3      20   9.23410839e-02  
     3      21   4.09876965e-01  
     3      22   5.80615864e-02  
     3      23   2.05473703e-02  
     3      24   1.03719898e-02  
     3      25   1.71876428e-03  
     3      26   2.63115804e-02  
     3      27   4.35473192e-02  
     3      28   7.48259301e-02  
     3      29   7.09822458e-02  
     3      30   2.62776353e-01  
     3      31   3.67092347e-02  
     3      32   2.25558043e-02  
     3      33   1.34252053e-02  
     3      34   2.65049760e-02  
     3      35   3.14579001e-02  
     3      36   1.25188915e-01  
     3      37   4.21951061e-02  
     3      38   8.40163646e-03  
     3      39   1.31384072e-02  
     3      40   6.15653771e-02  
     3      41   3.81103086e-02  
     3      42   1.14103414e-02  
     3      43   2.05615529e-02  
     3      44   2.54603929e-02  
     3      45   8.31241363e-02  
     3      46   3.75587412e-02  
     3      47   2.18539327e-03  
     3      48   1.39787652e-02  
     3      49   3.20567731e-02  
     3      50   3.97203394e-02  
     3      51   8.30328200e-02  
     3      52   4.03923478e-02  
     3      53   2.61491059e-04  
     3      54   1.35071163e-02  
     3      55   2.70627739e-02  
     3      56   3.89474495e-02  
     3      57   5.29790635e-02  
     3      58   5.76381853e-02  
     3      59   9.33045595e-02  
     3      60   4.36212027e-02  
     3      61   1.33362452e-03  
     3      62   1.20340685e-02  
     3      63   2.22720782e-02  
     3      64   3.62185246e-02  
     3      65   4.05346149e-02  
     3      66   7.40325180e-02  
     3      67   3.63461518e-02  
     3      68   6.44027428e-04  
     3      69   1.07824454e-02  
     3      70   2.28552152e-02  
     3      71   3.08339521e-02  
     3      72   5.01317706e-02  
     3      73   3.66603079e-02  
     3      74   3.88567844e-03  
     3      75   1.12266332e-02  
     3      76   1.79789072e-02  
     3      77   3.65003189e-02  
     3      78   2.94339921e-02  
     3      79   3.35641574e-02  
     3      80   1.50856717e-02  
     3      81   1.25494894e-02  
     3      82   4.34005923e-03  
     3      83   6.78627064e-03  
     3      84   2.10601505e-02  
     3      85   2.27482751e-02  
     3      86   9.18188196e-02  
     3      87   2.10938245e-02  
     3      88   6.21903412e-03  
     3      89   5.71148162e-03  
     3      90   8.67415055e-03  
     3      91   1.39810271e-02  
     3      92   1.39545149e-02  
     3      93   1.69360066e-02  
     3      94   4.75133716e-02  
     3      95   2.04947348e-02  
     3      96   2.22079423e-03  
     3      97   8.09389486e-03  
     3      98   1.34790209e-02  
     3      99   1.97028764e-02  
     3     100   2.21536018e-02  
     4       1   4.07147787e+00  
     4       2   4.29632112e+02  
     4       3   2.33430872e-02  
     4       4   3.59368932e-02  
     4       5   1.83488601e-03  
     4       6   3.25524260e-02  
     4       7   6.58786961e-02  
     4       8   8.78267224e-02  
     4       9   1.36367968e-01  
     4      10   9.01394540e-02  
     4      11   3.02125690e-02  
     4      12   3.47796372e-02  
     4      13   4.15096569e-02  
     4      14   1.52776360e-01  
     4      15   5.99976391e-02  
     4      16   8.14707330e-03  
     4      17   2.05523022e-02  
     4      18   6.20622066e-02  
     4      19   5.70523740e-02  
     4      20   3.33209596e-01  
     4      21   4.07678340e-02  
     4      22   2.38305788e-02  
     4      23   1.01614801e-02  
     4      24   2.66055764e-02  
     4      25   3.48709579e-02  
     4      26   9.84504242e-02  
     4      27   4.87847642e-02  
     4      28   4.40712086e-04  
     4      29   1.86639750e-02  
     4      30   3.58945444e-02  
     4      31   5.41901754e-02  
     4      32   6.74782658e-02  
     4      33   9.57877113e-02  
     4      34   6.84397142e-02  
     4      35   1.97899723e-02  
     4      36   2.00179487e-02  
     4      37   2.38710861e-02  
     4      38   9.65323640e-02  
     4      39   3.58573274e-02  
     4      40   6.30464406e-03  
     4      41   1.26678375e-02  
     4      42   3.63331107e-02  
     4      43   3.65262241e-02  
     4      44   6.76689777e-01  
     4      45   2.88542978e-02  
     4      46   1.31738385e-02  
     4      47   2.82692301e-03  
     4      48   1.64414611e-02  
     4      49   2.54369584e-02  
     4      50   4.73261076e-02  
     4      51   4.02477269e-02  
     4      52   4.53242023e-02  
     4      53   1.92991348e-02  
     4      54   1.59094886e-02  
     4      55   8.22160562e-03  
     4      56   1.63478832e-02  
     4      57   1.96494409e-02  
     4      58   5.40488564e-02  
     4      59   2.93385593e-02  
     4      60   1.38259615e-03  
     4      61   1.11700264e-02  
     4      62   2.22003705e-02  
     4      63   3.28273938e-02  
     4      64   4.03302747e-02  
     4      65   4.88077505e-02  
     4      66   3.52743689e-02  
     4      67   1.12409568e-03  
     4      68   1.22215136e-02  
     4      69   1.52798093e-02  
     4      70   5.83255195e-02  
     4      71   2.35185567e-02  
     4      72   3.36295140e-03  
     4      73   8.13409035e-03  
     4      74   2.60797083e-02  
     4      75   2.32449361e-02  
     4      76   7.90313387e-03  
     4      77   6.78943024e-03  
     4      78   1.74645466e-02  
     4      79   2.32386919e-02  
     4      80   1.90408510e-02  
     4      81   3.31539690e-02  
     4      82   1.45005397e-02  
     4      83   1.14903443e-02  
     4      84   1.64159970e-02  
     4      85   1.37199266e-02  
     4      86   1.27717773e-02  
     4      87   1.45114691e-02  
     4      88   1.33669262e-02  
     4      89   1.15694469e-02  
     4      90   7.36819018e-03  
     4      91   3.90537605e-03  
     4      92   1.14556538e-02  
     4      93   1.32881703e-02  
     4      94   5.50632258e-02  
     4      95   1.79860744e-02  
     4      96   3.31887075e-03  
     4      97   9.51920460e-03  
     4      98   1.11779726e-02  
     4      99   2.12300375e-02  
     4     100   1.92783026e-02  
     5       1   3.16301669e+00  
     5       2   1.12596412e+01  
     5       3   5.49016138e+00  
     5       4   5.67637034e-04  
     5       5   2.75949604e-02  
     5       6   5.31631923e-02  
     5       7   7.88878454e-02  
     5       8   9.93904340e-02  
     5       9   1.33783241e-01  
     5      10   1.10243533e-01  
     5      11   8.46211764e-02  
     5      12   3.30709962e-02  
     5      13   2.88301117e-02  
     5      14   3.36006192e-03  
     5      15   2.50707288e-02  
     5      16   3.85296309e-02  
     5      17   7.61316074e-02  
     5      18   5.99454694e-02  
     5      19   2.55430599e-02  
     5      20   2.51219518e-02  
     5      21   2.81547843e-02  
     5      22   1.48076672e-01  
     5      23   4.04044090e-02  
     5      24   1.10197537e-02  
     5      25   1.10203701e-02  
     5      26   2.43736270e-02  
     5      27   4.70888455e-02  
     5      28   5.01676955e-02  
     5      29   1.91887636e-01  
     5      30   3.73561243e-02  
     5      31   1.18841674e-02  
     5      32   8.03805003e-03  
     5      33   1.81748778e-02  
     5      34   2.53214032e-02  
     5      35   2.32906040e-02  
     5      36   2.83087490e-02  
     5      37   9.36242277e-02  
     5      38   3.43179770e-02  
     5      39   5.62489237e-03  
     5      40   1.08862281e-02  
     5      41   3.80423232e-02  
     5      42   3.18023158e-02  
     5      43   3.29281767e-02  
     5      44   1.94049075e-02  
     5      45   1.73917190e-02  
     5      46   7.25506326e-02  
     5      47   2.22730251e-02  
     5      48   1.50614748e-02  
     5      49   1.18690312e-02  
     5      50   1.70671855e-02  
     5      51   1.86736076e-02  
     5      52   4.39068965e-02  
     5      53   3.06655864e-02  
     5      54   1.13407970e-02  
     5      55   1.41112493e-02  
     5      56   1.70899029e-02  
     5      57   6.05798362e-02  
     5      58   2.55131825e-02  
     5      59   3.26259684e-03  
     5      60   8.56993644e-03  
     5      61   2.80996772e-02  
     5      62   2.47030071e-02  
     5      63   6.54634046e-02  
     5      64   1.71970016e-02  
     5      65   1.18828543e-02  
     5      66   1.07735216e-02  
     5      67   1.42872005e-02  
     5      68   1.51063694e-02  
     5      69   2.42082387e-02  
     5      70   3.41337744e-02  
     5      71   2.46402896e-02  
     5      72   1.55303721e-02  
     5      73   1.25912628e-02  
     5      74   1.29840475e-02  
     5      75   4.75990985e-02  
     5      76   2.07928681e-02  
     5      77   1.58037843e-03  
     5      78   8.32282537e-03  
     5      79   1.74105501e-02  
     5      80   2.29320662e-02  
     5      81   2.81750083e-02  
     5      82   1.76933806e-02  
     5      83   6.04501461e-03  
     5      84   1.02262278e-02  
     5      85   1.31424065e-02  
     5      86   3.11948347e-02  
     5      87   2.10161962e-02  
     5      88   1.38116470e-03  
     5      89   8.18408413e-03  
     5      90   1.42386613e-02  
     5      91   2.54060277e-02  
     5      92   2.38878941e-02  
     5      93   4.43318459e-03  
     5      94   6.08178953e-03  
     5      95   1.37996957e-02  
     5      96   1.73655778e-02  
     5      97   2.26111730e-02  
     5      98   1.96870897e-02  
     5      99   1.76554700e-04  
     5     100   8.66754272e-03  
     6       1   2.55757042e+00  
     6       2   1.93562772e-01  
     6       3   1.70909720e-01  
     6       4   1.68384016e-02  
     6       5   2.42553127e-02  
     6       6   3.48349874e-02  
     6       7   8.95985510e-02  
     6       8   5.53926072e-02  
     6       9   1.48505715e-02  
     6      10   2.46272093e-02  
     6      11   3.23249555e-02  
     6      12   9.62195743e-02  
     6      13   4.74228312e-02  
     6      14   3.41242219e-04  
     6      15   1.84291678e-02  
     6      16   3.55940867e-02  
     6      17   5.35661776e-02  
     6      18   6.72411259e-02  
     6      19   7.95438241e-02  
     6      20   1.15676588e-01  
     6      21   6.70417199e-02  
     6      22   6.99999730e-03  
     6      23   1.73493947e-02  
     6      24   2.66510702e-02  
     6      25   5.79090224e-02  
     6      26   4.25892752e-02  
     6      27   2.88661369e-02  
     6      28   2.05155855e-02  
     6      29   2.03900364e-02  
     6      30   2.96351720e-02  
     6      31   5.77916621e-02  
     6      32   4.12104978e-02  
     6      33   2.18172545e-02  
     6      34   1.79572411e-02  
     6      35   1.91246256e-02  
     6      36   5.99785745e-02  
     6      37   3.12943153e-02  
     6      38   8.92497168e-04  
     6      39   1.20733879e-02  
     6      40   2.51502625e-02  
     6      41   3.50515023e-02  
     6      42   5.28931104e-02  
     6      43   4.53307718e-02  
     6      44   5.37150761e-02  
     6      45   1.76443430e-02  
     6      46   1.41451245e-02  
     6      47   3.67971920e-02  
     6      48   1.90498826e-02  
     6      49   1.46515151e-02  
     6      50   2.47239096e-02  
     6      51   1.73684616e-02  
     6      52   1.48750882e-02  
     6      53   2.78476819e-02  
     6      54   1.70356023e-02  
     6      55   1.40477402e-02  
     6      56   4.00710524e-02  
     6      57   1.73177336e-02  
     6      58   1.28132638e-02  
     6      59   1.90327016e-02  
     6      60   1.54470872e-02  
     6      61   1.36890396e-02  
     6      62   2.80777220e-02  
     6      63   1.55795464e-02  
     6      64   1.25851253e-02  
     6      65   1.08063890e-02  
     6      66   1.32995852e-02  
     6      67   1.37952250e-02  
     6      68   4.90326032e-02  
     6      69   2.08620199e-02  
     6      70   2.73159156e-03  
     6      71   7.71568535e-03  
     6      72   1.58789654e-02  
     6      73   2.45916779e-02  
     6      74   3.15097957e-02  
     6      75   4.36894500e-02  
     6      76   3.46057180e-02  
     6      77   1.27558235e-02  
     6      78   1.03153418e-02  
     6      79   1.13096767e-02  
     6      80   8.45415912e-02  
     6      81   1.68254463e-02  
     6      82   5.86850816e-03  
     6      83   4.79018867e-03  
     6      84   8.39720475e-03  
     6      85   2.01981046e-02  
     6      86   2.05066881e-02  
     6      87   9.63618150e-03  
     6      88   7.36318237e-04  
     6      89   6.66449235e-03  
     6      90   1.52941716e-02  
     6      91   1.98677797e-02  
     6      92   3.34036172e-02  
     6      93   2.33795153e-02  
     6      94   3.59390311e-03  
     6      95   8.06625370e-03  
     6      96   1.08850445e-02  
     6      97   2.00394477e-02  
     6      98   2.03699039e-02  
     6      99   1.20576876e-02  
     6     100   3.03263426e-03  
     7       1   2.12018995e+00  
     7       2   1.14890145e+00  
     7       3   3.46705388e-01  
     7       4   2.40612755e-02  
     7       5   1.72599138e-02  
     7       6   3.17186340e-02  
     7       7   3.02527148e-02  
     7       8   2.67246216e-02  
     7       9   1.40139746e-01  
     7      10   3.18577242e-02  
     7      11   2.01600610e-02  
